basin_id,area,srftopo,slope_avg,wcap,wava,fveg,lai,p_mean,pet_mean,aridity,frac_snow,high_prec_freq,high_prec_dur,low_prec_freq,low_prec_dur
4060006520_0,27825.1,244.5499588,0.017027307,661.8911866,338.3138649,0.426838364,1.836741751,2.398014939,7.081690035,2.953146754,0.31842714,20.55,1.263076923,258.45,4.970192308
4060006670_0,5036.0,181.6489774,0.01268101,717.8430054,364.9203979,0.366689467,2.108779318,1.64044801,5.174637216,3.154404884,0.286314703,19.9,1.269968051,292.925,7.101212121
4060006840_0,3124.7,316.6967278,0.019556695,684.8523763,350.7883911,0.385277942,2.374099559,1.666278075,5.259094982,3.156192872,0.273456472,19.0,1.252892562,290.55,6.86068477
4060007380_0,9825.0,99.30347677,0.008904775,730.2432785,372.601123,0.503852902,1.915975835,1.886420145,5.136707549,2.72299231,0.223612941,20.95,1.337060703,287.7,7.17654398
4060008100_0,3629.5,36.92955359,0.003267516,679.3987948,348.6272691,0.626919155,1.730939111,1.911566912,5.318562668,2.782305257,0.142387733,20.6,1.33495935,288.375,6.683082271
4060009880_0,4424.8,3.850533819,0.000633762,719.8889496,367.0735367,0.728060362,2.130181095,3.508843814,4.627477871,1.318804175,0.03161517,20.775,1.387959866,242.475,4.685507246
4060009890_0,4430.5,2.239393843,0.000773245,712.6165348,363.5912353,0.659348929,2.134320122,3.64798628,4.768806034,1.307243413,0.018672346,19.525,1.320338983,236.075,4.456347334
4060010150_0,26251.8,39.30333351,0.005864114,689.3715218,350.4131647,0.622259025,2.516510004,4.145918585,4.435846205,1.069930852,0.016631726,17.525,1.328897338,215.075,4.134070159
4060010370_0,1681.3,44.66207143,0.008366972,630.7375005,320.0395889,0.578606614,2.640746024,4.250768177,4.250740464,0.99999348,0.011926736,18.1,1.338888889,218.85,4.002743484
4060011100_0,17206.0,462.9578898,0.044823696,662.5882848,332.3817482,0.583407244,3.876294605,5.114789302,8.128018496,1.589120884,0.014151925,14.425,1.348946136,173.05,3.577260982
4060011800_0,5603.6,452.6785203,0.041797413,628.4993286,320.3885956,0.580283158,4.410334289,4.437524432,8.126030851,1.831208138,0.000139305,16.025,1.422222222,196.05,4.256243214
4060011960_0,13823.6,518.3647474,0.043757786,614.4293682,313.3210487,0.592365624,5.005326482,4.717005831,10.78805936,2.287056609,0.00013946,14.55,1.363849765,178.5,4.164527421
4060012990_0,2886.7,56.49604024,0.01151934,601.4439774,307.6232471,0.538553777,2.144601673,5.114900907,5.183836023,1.013477312,0.0,13.4,1.38961039,177.625,4.545454545
4060013090_0,5099.8,108.9768439,0.017526781,666.8926239,340.4275894,0.53575558,2.32012518,4.919370921,5.211942448,1.059473362,0.0,13.125,1.389920424,173.775,4.463712267
4060050460_0,29604.5,3660.218931,0.037169328,181.5824912,89.63362413,0.161413841,0.799660671,1.722015412,2.32621914,1.350870105,0.5753679,17.35,1.290502793,241.075,5.737061273
4060050470_0,29078.1,4896.687307,0.023500535,152.1926278,76.69100885,0.123331639,0.63417336,1.621911142,2.87537421,1.772830913,0.606541607,11.2,1.339339339,232.9,8.208810573
4060050550_0,22951.4,2016.952587,0.023539432,139.8569917,85.50860042,0.097574925,0.483049999,1.067081324,3.793313257,3.554849262,0.35534613,16.2,1.23709369,268.775,5.899560922
4060050590_0,20448.7,888.7073784,0.01604362,152.6301535,92.91404498,0.060610914,0.536235692,0.775215208,3.917587063,5.053547739,0.343506674,17.275,1.18556701,289.275,6.258518118
4060050610_0,21984.5,5114.286606,0.03921102,112.7536812,58.90931378,0.068234237,0.401123251,1.283973785,3.256252959,2.536074333,0.591249914,24.15,2.120879121,270.775,13.30589681
4060050710_0,15893.7,4973.656437,0.036137849,156.5317547,81.95971939,0.114746701,0.561387249,1.496750371,3.280393127,2.191676842,0.568745669,15.375,1.490291262,246.225,10.40021119
4060050870_0,11265.3,1089.719241,0.021978929,135.1556264,85.2508467,0.073544691,0.475359062,0.793797457,4.371473267,5.507038637,0.341105836,16.025,1.149012567,281.875,5.940990516
4060050910_0,10741.2,4973.802789,0.042522735,188.5800864,94.82769756,0.164712087,0.787212375,1.967171512,2.708823943,1.377014626,0.606538197,11.65,1.274725275,215.3,6.490580256
4060050950_0,10168.9,5145.312801,0.020654149,83.75934728,43.35444207,0.047377679,0.335707573,1.576534549,1.962333733,1.244713434,0.72975945,11.15,1.20596206,231.375,6.029967427
4060051040_0,11870.9,5105.136053,0.043403301,133.1754333,70.33129592,0.08645441,0.461618109,1.374383927,3.002746431,2.18479449,0.581361661,20.125,1.778761062,260.625,12.36654804
4060051160_0,24221.0,5090.595215,0.018710019,50.98915289,27.15314654,0.012801591,0.24224888,1.352288325,2.356966125,1.742946443,0.720233597,10.85,1.177111717,239.95,6.633724948
4060051220_0,8915.1,5035.529704,0.039057018,159.4981225,83.6910518,0.116567722,0.559093736,1.340177518,3.374388649,2.517866928,0.572588548,19.925,1.649377593,261.0,11.78329571
4060051270_0,7948.7,5057.737681,0.025610509,55.21353896,29.23568897,0.015666784,0.239707997,1.152216372,2.797581716,2.428000317,0.647205313,15.4,1.397727273,257.675,8.353322528
4060051460_0,10833.2,3592.048031,0.033490551,166.2438151,82.85709545,0.139698896,0.721392335,1.257193975,2.91600543,2.319455459,0.473593729,20.2,1.285031847,267.525,6.855861627
4060051810_0,4802.6,4831.1573,0.025241503,187.645008,92.59065539,0.169622793,0.80579064,1.885166584,3.203093702,1.699103797,0.55810736,12.675,1.317708333,228.7,6.989304813
4060051820_0,4737.8,4285.459786,0.032135106,74.13514462,40.80363903,0.031401155,0.305441757,1.286231958,1.716295247,1.334359045,0.708232696,21.45,1.373397436,270.125,6.216915995
4060051890_0,4634.9,1537.986816,0.016937705,194.741581,104.0032604,0.189290072,0.862236918,1.280477024,4.023280267,3.142016758,0.39287003,20.35,1.264385692,284.075,6.429541596
4060051970_0,8056.9,4838.064102,0.019293497,116.0539846,59.7623806,0.084424338,0.49082644,1.263669021,3.302933171,2.613764456,0.575055648,18.3,1.529288703,260.5,9.649074074
4060052100_0,12459.7,653.6050831,0.00559945,154.9678373,95.51798815,0.010552433,0.457740114,0.37330254,4.004233763,10.72651089,0.356204168,20.225,1.193500739,328.275,11.94813467
4060052150_0,10234.9,1036.515597,0.00981915,138.386123,88.58233356,0.012565975,0.398221846,0.401970066,3.954538612,9.837893294,0.367517031,20.65,1.217134417,324.875,10.90268456
4060052310_0,5865.9,466.3930626,0.003880025,123.1866299,83.10095787,0.010269003,0.306212629,0.334957558,4.453443771,13.29554646,0.341325196,19.85,1.2143951,333.4,13.60816327
4060052330_0,8175.1,4975.06532,0.016513388,108.1483707,53.92446432,0.077948027,0.479008649,1.444713207,2.885752431,1.997456946,0.627876443,13.925,1.376237624,241.925,7.438893159
4060052350_0,5183.3,5142.666937,0.020280822,63.31176462,33.59764137,0.026172593,0.2657594,1.46306265,2.315206661,1.582438497,0.703808278,13.075,1.251798561,240.6,6.534283775
4060052400_0,3506.6,4780.973694,0.019938613,189.7944565,92.69326973,0.171534702,0.812696416,1.7603149,2.968129551,1.68613556,0.574059968,14.9,1.368663594,236.5,7.108189331
4060052490_0,5043.0,4934.017456,0.028972663,185.3846146,92.78347816,0.161796863,0.754372945,1.622884209,3.378006053,2.081483099,0.544521265,14.85,1.335585586,240.825,8.532329495
4060052510_0,5461.2,4802.76786,0.027313443,198.2663314,96.32663918,0.18489909,0.867884775,2.063488612,2.794974702,1.354490006,0.571733443,10.6,1.277945619,214.375,5.963838665
4060052590_0,5405.9,5062.691559,0.0202012,93.8803792,48.17044437,0.062035578,0.406779943,1.297160112,2.826875777,2.179280531,0.648271093,14.0,1.321513002,251.025,7.90086546
4060052910_0,4903.2,5167.682682,0.020558413,51.34704386,27.52066905,0.012171412,0.226814756,1.355744326,2.372404359,1.749890679,0.713239865,11.375,1.237057221,241.5,6.639862543
4060053240_0,4103.1,4756.35554,0.018416739,147.9481405,78.00571084,0.106387541,0.591739692,1.399462519,3.519605493,2.514969458,0.518918161,18.725,1.493013972,255.8,9.388073394
4060053450_0,2296.4,1480.462677,0.021071947,226.2115345,119.9854488,0.20433923,1.001464727,1.54299553,3.611512317,2.340585081,0.371212672,21.825,1.300595238,282.5,6.29064588
4060053530_0,4495.8,5033.991528,0.026264689,89.66779397,46.3947086,0.052430064,0.355042902,1.280367613,2.937689397,2.294410892,0.62598343,15.925,1.367741935,253.3,8.558277027
4060054270_0,1734.2,5333.232361,0.047048911,89.21193981,47.04879928,0.045055802,0.327413756,1.259851673,2.267126162,1.799518316,0.711341632,19.175,1.706013363,266.35,9.650362319
4060054460_0,4393.5,5079.852795,0.025471125,69.50206242,36.13507929,0.029874242,0.274440425,1.225695347,2.808984434,2.291747653,0.645736488,13.525,1.298795181,251.55,7.687547746
4060055030_0,3098.6,4750.873942,0.018047239,158.5195519,80.81649288,0.12370214,0.660760523,1.671654595,3.350778618,2.004468284,0.54869904,16.25,1.401727862,242.375,7.738228252
4060055200_0,1328.9,2051.978958,0.056342801,228.3734074,122.8849249,0.200973746,1.052912348,1.917906885,1.767096399,0.921367149,0.471037644,13.475,1.182417582,214.725,4.006529851
4060055770_0,2228.6,4763.609558,0.024983932,205.7659445,99.18204355,0.195382639,0.907014659,2.108634722,2.845310187,1.349361346,0.556897385,11.675,1.288088643,212.5,5.55620915
4060056170_0,1067.0,4892.078328,0.05274977,109.2987518,59.11711629,0.05796198,0.364204743,1.831983201,3.302192732,1.802523479,0.490397191,22.875,1.589565217,262.175,9.997140133
4060057980_0,1417.4,4698.435303,0.015400962,99.30500031,52.11946487,0.060812668,0.45304549,1.253636895,3.58649066,2.860868785,0.516576715,20.25,1.618,265.6,9.712065814
4060060440_0,1022.1,1650.192352,0.032914097,489.4881554,256.4195671,0.295800987,2.089932526,3.575087982,4.657293223,1.302707303,0.002414626,14.8,1.270967742,196.075,4.320661157
4060060640_0,2941.4,695.888504,0.033604117,587.8374329,298.7330933,0.471239324,2.405816998,5.133010249,4.606638879,0.897453669,0.000763359,13.575,1.278301887,145.65,3.266255605
4060106900_0,3363.5,663.7597407,0.026669242,296.3633718,160.153612,0.289563208,1.73982316,1.647720733,8.659265451,5.255299202,0.506590941,19.9,1.388111888,266.95,5.857377948
4060106910_0,6546.2,665.0953671,0.025854202,291.0497773,158.4874463,0.298239745,1.673869879,1.739633201,7.137594879,4.102930936,0.504232249,19.2,1.372759857,264.75,5.815485997
4060108480_0,2383.4,740.9603214,0.029663385,303.1747322,165.0528283,0.322932381,1.72304812,1.544219067,7.75986173,5.025104206,0.517424401,20.15,1.355218855,267.475,5.830517711
4060109820_0,2196.0,850.8985558,0.028786606,319.2214394,171.506474,0.303926844,1.780270054,1.729859744,6.705137364,3.876116194,0.528581412,19.3,1.347902098,260.5,5.498680739
4060109910_0,5311.9,854.0642573,0.027897008,359.5650469,191.9455961,0.301985495,1.670308224,1.743210323,6.902171595,3.959460028,0.524921575,19.175,1.351590106,259.925,5.556921432
4060110370_0,15771.4,845.2284097,0.02647128,402.1923175,213.833399,0.321177686,1.626978559,1.65025152,5.673381618,3.437889042,0.522088353,18.55,1.349726776,258.95,5.587378641
4060111150_0,5897.6,443.6630509,0.01658306,269.4376157,149.263583,0.312282891,1.574614733,1.572737027,11.70421314,7.441939077,0.481419156,21.275,1.362179487,273.0,6.215139442
4060111270_0,3921.1,455.3591896,0.016316097,229.3468464,131.4403057,0.342676724,1.505608506,1.706159539,11.56794313,6.780106356,0.483739265,20.85,1.374587459,269.05,5.998885173
4060113050_0,1802.1,396.2802658,0.013222324,263.1635528,148.3767807,0.344637357,1.468144517,1.665778547,11.88030756,7.131984967,0.471438696,21.35,1.3648,272.2,6.130630631
4060136410_0,15787.9,818.9218603,0.021179147,580.1298218,303.4393097,0.328868203,1.353448486,1.539877057,4.696743972,3.050077245,0.498856153,19.225,1.384476534,265.975,5.917130145
4060152570_0,20438.3,820.4843304,0.017135203,567.3653734,296.37457,0.294609971,1.208592553,1.536972278,4.299865111,2.797620472,0.487150993,18.65,1.33572711,265.85,5.881637168
4060153390_0,4936.4,718.5931692,0.011933045,507.3877169,263.7717289,0.221842034,1.007755694,1.32898782,4.239913086,3.190332539,0.474107768,20.25,1.352842809,280.275,6.435706085
4060154700_0,19699.5,610.2054423,0.019707917,453.0983497,241.4614101,0.347534089,1.417381734,1.759227542,9.291156328,5.281384076,0.47489409,20.05,1.426024955,264.775,6.045091324
4060154710_0,41359.2,434.0638293,0.013505109,465.9138909,247.2549734,0.334384284,1.384718415,1.742048667,9.641343673,5.534485835,0.464035514,20.075,1.330016584,261.275,5.887887324
4060157440_0,10735.9,927.9410837,0.017042895,656.6221944,340.4303978,0.300139022,1.236525895,1.513258642,4.139897596,2.735750176,0.485624564,18.9,1.273648649,263.525,5.427909372
4060172840_0,3382.0,905.1032257,0.012296685,646.6968994,334.8145897,0.292223155,1.286074806,1.494756516,4.621752088,3.091976546,0.483323991,19.575,1.304347826,266.325,5.396656535
4060175950_0,25740.6,612.6702093,0.019558074,428.8983378,228.8055705,0.349276456,1.441345962,1.73610471,11.62698776,6.697169638,0.464047751,20.2,1.425795053,267.3,6.223515716
4060175960_0,20672.1,297.2932416,0.006564268,625.5089299,323.9356854,0.346303622,1.378065076,1.767415161,8.00595934,4.529755948,0.433272905,22.025,1.337899543,265.575,5.991539763
4060180330_0,4530.8,290.5739781,0.005274687,655.9382502,339.7839365,0.353466806,1.340751262,1.86505502,6.536545362,3.504746665,0.427785614,22.55,1.319180088,269.05,5.864850136
4060180500_0,1213.8,251.5289586,0.004810234,810.42394,409.4623871,0.469775575,1.623376373,1.755824851,3.924719037,2.235256572,0.421920743,22.875,1.348082596,276.7,6.214486244
4060186170_0,1912.3,209.5342903,0.002812868,803.5919189,410.730835,0.396188413,1.375471974,1.589024989,4.567747821,2.874560093,0.413172794,22.175,1.359447005,283.775,6.740498812
4060186180_0,3951.7,234.4600601,0.003928225,811.1216634,413.860068,0.417463119,1.42265189,1.633723758,5.012967997,3.068430616,0.41642979,22.65,1.365007541,279.95,6.465357968
4060197470_0,4626.2,132.3453011,0.006952036,523.5604177,270.4388571,0.33268992,1.553038252,1.890437277,6.063630106,3.207527793,0.409972687,20.25,1.266875981,261.125,5.26727181
4060197600_0,2686.2,142.9438493,0.007736216,546.7570229,280.7398109,0.338743645,1.368056811,1.885949201,6.15353386,3.262831182,0.402676056,19.425,1.248387097,259.575,5.150297619
4060199150_0,4501.5,286.0054945,0.017535065,387.2047585,206.2913635,0.354248252,1.610411053,2.037290501,9.61819982,4.721074296,0.425369475,20.1,1.293075684,254.425,5.035625928
4060199310_0,5360.6,191.1878883,0.012127203,553.8940063,284.073481,0.362678878,1.623694527,1.829202143,6.621276289,3.619761935,0.406766601,19.5,1.257281553,261.85,5.237
4060205640_0,19445.4,506.4103443,0.017519555,434.1958477,228.1514496,0.350341482,1.496045328,1.59061634,11.09005616,6.972175426,0.431864217,21.25,1.44047619,279.325,7.040327662
4060205650_0,17447.4,332.2574505,0.010445585,562.2422974,290.0894349,0.353938827,1.473995711,1.550882771,7.256879502,4.679192805,0.415650834,21.975,1.412238325,282.5,7.179161372
4060209040_0,10257.2,179.2558282,0.00186239,768.7171441,390.4632738,0.410151351,1.455991416,1.543923009,4.319043457,2.797447432,0.400353982,22.275,1.348484848,282.9,6.804570054
4060209190_0,3654.0,150.1549007,0.000602664,734.1425543,373.8901984,0.348499062,1.42580907,1.423665263,4.722387621,3.317063178,0.393446149,23.275,1.368188513,290.675,7.434143223
4060209330_0,17532.6,623.7859508,0.019235816,489.7246144,255.5892421,0.341230911,1.456788813,1.553025895,8.666085971,5.580129734,0.447882623,21.0,1.427597956,275.075,6.692822384
4060213920_0,20698.2,431.7015822,0.02382973,302.3364129,165.953539,0.36345109,1.637274342,2.056263357,10.60132134,5.155624302,0.444452164,18.225,1.270506108,241.825,4.748649975
4060214110_0,2945.5,364.4044563,0.029671633,465.0673409,238.2254761,0.377131439,1.748731624,2.103516788,9.724212386,4.622835645,0.42900154,18.125,1.270175439,247.825,4.909856365
4060224160_0,10971.9,251.8826624,0.014758264,526.3955657,270.2761524,0.367473166,1.477499957,1.914765083,5.812425385,3.03558146,0.40569395,18.55,1.219471947,251.425,4.849083896
4060225200_0,4219.8,290.3467441,0.022860779,485.6372876,249.6508753,0.374830931,1.697967804,2.079057534,9.571432472,4.60373622,0.408149027,17.975,1.24738676,246.7,4.648139425
4060225210_0,1842.3,202.4612878,0.013745833,611.7300669,311.5113093,0.387057503,1.502735688,1.903727215,7.886270209,4.14254214,0.402175439,18.775,1.283018868,256.5,4.942196532
4060232550_0,3064.3,105.5514824,0.006261557,576.4595276,294.297966,0.317676762,1.642220426,2.025801922,4.921343069,2.429330832,0.398725312,19.7,1.265273312,256.975,4.960907336
4060237430_0,14181.2,214.9814278,0.011623816,637.5434676,324.5222807,0.44027905,1.72587493,2.153571863,7.466440856,3.467003347,0.400990099,20.0,1.297077922,253.05,5.138071066
4060237570_0,10830.6,339.8098893,0.019781969,513.6036087,264.0985947,0.376029873,1.710063367,2.283731319,8.896029228,3.895392226,0.405471252,17.525,1.228873239,234.775,4.175633615
4060239010_0,31058.8,249.1640332,0.008058239,621.2669176,318.6493127,0.438213536,1.597619188,2.00152556,7.16106902,3.577805431,0.414835929,20.775,1.307086614,256.675,5.423666138
4060239440_0,5324.4,157.2943621,0.002127328,757.7361313,381.3216274,0.472988003,1.608883863,1.642235651,4.004168562,2.438242379,0.39071718,21.875,1.316742081,279.8,6.564222874
4060239850_0,8316.3,175.3764167,0.004897022,776.7685249,390.6881833,0.511254177,1.788173212,1.906370053,6.354203194,3.333142579,0.388587531,20.6,1.291993721,264.225,5.682258065
4060240740_0,9237.7,462.8787663,0.028062408,520.5391116,267.8095971,0.389960312,1.691536082,2.119396768,8.266463081,3.900384867,0.420068145,17.075,1.205309735,236.95,4.286748078
4060240750_0,4066.0,370.0562286,0.021305338,494.2655125,254.0898848,0.370501764,1.553429513,1.891814509,8.234346497,4.352618324,0.414257648,18.05,1.220338983,252.05,4.791825095
4060244890_0,9305.1,222.3134038,0.00471023,556.4869553,282.7676876,0.272576008,1.420918625,1.316151396,4.98177546,3.785108215,0.379750466,21.975,1.373040752,296.325,8.101845523
4060244900_0,5143.9,138.9817166,0.000878101,672.0288499,339.5283594,0.329505102,1.545446712,1.330229548,4.660370784,3.503433517,0.377952189,22.5,1.354449472,295.7,7.895861148
4060245070_0,1132.3,131.0841624,0.000673117,731.093099,368.5369466,0.340103902,1.63040489,1.274992749,4.368740805,3.426482863,0.369075655,22.375,1.33632287,299.15,7.972018654
4060246920_0,1426.4,163.043252,0.001558666,643.952673,325.0075026,0.313836097,1.492351529,1.240848844,5.643752926,4.548300105,0.368726578,22.025,1.337386018,301.875,8.344851417
4060247070_0,8805.8,155.3477206,0.001351693,728.9941126,368.3279463,0.379037343,1.511787423,1.496654589,4.026747679,2.690499002,0.387460149,22.1,1.325825826,284.175,7.008014797
4060247240_0,1314.9,153.6106672,0.000911328,717.0820789,360.4551096,0.328870415,1.584395507,1.228558952,4.720050028,3.841940202,0.365875175,22.075,1.359013867,302.9,8.437325905
4060247250_0,6115.1,134.2439437,0.000890043,693.0714372,350.0984271,0.31506434,1.555765438,1.378645274,3.554639999,2.578357223,0.377401778,22.425,1.341829085,291.2,7.423836839
4060251620_0,1145.2,145.6054039,0.001343289,745.2679774,374.0969569,0.394060218,1.648434763,1.525681926,4.157825307,2.725224201,0.378675143,21.8,1.283185841,286.85,7.026331904
4060252610_0,4137.4,153.036751,0.001982449,816.7935066,409.341846,0.494590029,1.767203458,1.601730877,4.305598486,2.688091082,0.375233042,21.25,1.288753799,283.2,6.61682243
4060252760_0,19628.5,295.6840005,0.012956364,649.7745593,329.5316937,0.455274152,1.815318538,2.358246295,7.502569382,3.181418921,0.390923622,18.725,1.273037543,237.825,4.404166667
4060255200_0,7701.7,1038.847389,0.010180555,127.3917564,69.39188202,0.063579537,0.659557438,1.1191928,3.781281013,3.378578752,0.43989245,19.275,1.323580034,289.85,6.970535177
4060255420_0,2088.4,160.6813602,0.001854686,802.8118362,402.4691162,0.453600502,1.757589024,1.512896924,4.379736654,2.894933941,0.367332123,21.575,1.318042813,288.175,6.981829194
4060255430_0,3117.7,166.7088142,0.002711232,847.4365082,424.3158203,0.534846083,1.831602518,1.619388175,4.384055013,2.707229237,0.371631817,21.625,1.323124043,282.625,6.557424594
4060255940_0,20831.2,1474.634413,0.042176966,175.5735781,101.463769,0.1382959,0.667304835,1.496164054,3.014267272,2.014663608,0.41659791,11.725,1.161290323,225.2,4.615266393
4060255950_0,11884.5,1299.096437,0.034783304,175.3783409,101.2879971,0.137649345,0.67171488,0.869662123,3.903336727,4.48833705,0.356128499,14.95,1.159533074,274.575,5.62704918
4060256070_0,36178.5,352.8240383,0.007304595,620.1060089,313.1851047,0.284535586,1.494754552,1.340281447,4.825145093,3.600098401,0.381222432,21.25,1.415,285.75,7.412451362
4060257960_0,1685.8,209.2586416,0.003746904,538.2085241,273.4194959,0.27611404,1.356432526,1.262339818,4.769145354,3.778020216,0.373772894,21.925,1.369905956,300.45,8.334257975
4060258090_0,9266.1,371.0060622,0.010373526,576.0095537,291.9219272,0.268437685,1.462547264,1.282046064,4.953085412,3.863422344,0.382317029,20.975,1.397328881,298.375,8.236714976
4060270860_0,6182.0,1387.571084,0.049365817,189.9182294,109.5644496,0.132917739,0.740414347,1.723474428,2.957333967,1.715914039,0.384360549,14.5,1.16733871,225.25,4.387049659
4060271590_0,3566.6,1305.240343,0.051181012,182.5439305,106.3929808,0.119880555,0.720267004,2.658448451,2.343596013,0.88156534,0.402083908,14.9,1.224279835,201.825,4.057286432
4060276820_0,2668.6,1286.372993,0.052500471,162.9448195,99.72565031,0.080487035,0.548397959,1.935528947,2.641331517,1.364656169,0.350044824,13.4,1.23556582,218.1,4.129200189
4060277280_0,18282.1,233.3682457,0.006229193,795.0279009,399.7312645,0.501344165,1.839136386,2.050169773,5.290921019,2.580723358,0.364536517,20.275,1.313821138,261.9,5.285570131
4060277290_0,17284.4,352.7312171,0.017322712,558.1028941,286.1893375,0.40976902,1.744875588,2.487544649,8.301299068,3.337145756,0.381580775,18.625,1.259762309,237.125,4.217429969
4060280360_0,8023.0,1169.196694,0.027251202,179.7356677,102.3406354,0.142045525,0.742123826,1.184379847,3.195961315,2.698425951,0.409674303,16.875,1.174216028,258.45,4.890728477
4060280510_0,4512.6,1311.428418,0.033772281,189.3656591,106.384895,0.162788152,0.773612408,1.242953433,3.183723277,2.561417984,0.401407965,15.6,1.149446494,249.625,4.732701422
4060289170_0,5222.5,570.1850357,0.028204129,532.3689016,271.1886787,0.405901147,1.784134363,2.448468975,8.565170509,3.498174,0.428133278,16.35,1.214552239,225.175,3.929755672
4060297340_0,9491.6,606.0823509,0.027403577,455.6646039,235.7457304,0.385984137,1.812291083,2.288766934,9.406849777,4.110007723,0.404780101,18.3,1.231028668,236.35,4.213012478
4060297550_0,1843.0,561.8048439,0.0219315,456.1385422,241.8123525,0.403961415,1.693231367,2.078674616,11.33271639,5.451895311,0.404928591,18.45,1.220198675,245.975,4.374833259
4060314110_0,11309.4,648.4649809,0.016622957,433.8847124,222.360639,0.228950389,1.281248059,1.180590835,5.902343537,4.99948277,0.393722037,20.9,1.447140381,298.85,8.191912269
4060320440_0,1500.6,153.6936793,0.000900861,733.867918,368.8713961,0.329332038,1.67335819,1.406407965,4.834954704,3.437803842,0.346910112,22.025,1.360123648,299.175,7.91468254
4060320450_0,1554.1,157.1264496,0.001576233,838.5132345,419.7835871,0.403106271,1.788479304,1.553664785,4.608100641,2.965955517,0.351907667,22.2,1.325859492,294.15,7.376802508
4060325660_0,9594.9,2089.680082,0.071199521,250.2372825,139.1542009,0.24907583,1.138468338,1.906075463,4.092114695,2.146879688,0.473020467,13.25,1.216091954,213.3,3.418669872
4060325880_0,2786.2,1204.34289,0.035100958,329.674633,174.616209,0.332788741,1.222948778,1.99275772,3.077764434,1.544474977,0.321246062,14.025,1.164241164,215.8,3.672054445
4060326920_0,7663.6,2419.977524,0.073160007,261.0442638,144.0952686,0.261809044,1.145592399,1.88430343,4.74543419,2.518402353,0.451891817,13.975,1.17721519,222.125,3.673418768
4060327490_0,7339.9,703.7858103,0.017963259,407.2013076,209.6144265,0.220247423,1.215834824,1.193124373,6.199200132,5.195770259,0.396450969,20.425,1.447602131,298.525,8.18861454
4060327650_0,2261.3,519.639863,0.010324937,308.2805762,162.0195484,0.179152502,1.0298537,1.071828672,4.824181007,4.500888185,0.359766462,19.925,1.386759582,308.125,8.921014493
